qid,qstr
citeseerx-q1,ontology
citeseerx-q10,kalman filter
citeseerx-q100,information security
citeseerx-q101,wikipedia
citeseerx-q102,constraint-handling in evolutionary optimization
citeseerx-q103,cloud computing
citeseerx-q104,an ontology-based data mediation framework for semantic environments
citeseerx-q105,the economics of social network
citeseerx-q106,online uyghur recognition
citeseerx-q107,handwritten overlap character recognition
citeseerx-q108,twins functioning as half of a whole
citeseerx-q109,blended wing aerodynamic
citeseerx-q11,spineless tagless g-machine
citeseerx-q110,principal component analysis artificial neural network and river water quality analysis
citeseerx-q111,multiobjective optimization and multiple constraint handling with evolutionary algorithms
citeseerx-q112,haar-like feature svm
citeseerx-q113,shallow water acoustic networks
citeseerx-q114,aubry-mather theory and pdes
citeseerx-q115,augmented reality
citeseerx-q116,6lowpan autoconfiguration
citeseerx-q117,curved channel
citeseerx-q118,survey network optimization
citeseerx-q119,contagion
citeseerx-q12,data mining
citeseerx-q120,numerical simulation of turbulent free-surface flow in curved channel
citeseerx-q121,twitter
citeseerx-q122,face detection
citeseerx-q123,youtube
citeseerx-q124,face recognition
citeseerx-q125,semantic web
citeseerx-q126,social cognitive theory
citeseerx-q127,evaluation and validation of canopy laser radar systems for native and platation fores inventory
citeseerx-q128,improved routing wasps for distributed factory control
citeseerx-q129,experimental airpath control
citeseerx-q13,database intrusion detection
citeseerx-q130,quaternion-based kalman filter code
citeseerx-q131,wireless sensor network
citeseerx-q132,simultaneous color constancy
citeseerx-q133,overcoming the internet impasse through virtualization
citeseerx-q134,mobile learning
citeseerx-q135,change management
citeseerx-q136,uniform 2 price auctions:evaluation of the treasury experience
citeseerx-q137,e-banking service
citeseerx-q138,word reading comprehension
citeseerx-q139,ecg heartbeat classification 2010
citeseerx-q14,a primer on cointegration with an application to money and income
citeseerx-q140,large scale l1 regularized least squares problems
citeseerx-q141,voip
citeseerx-q142,sar gis earthquake
citeseerx-q143,an edge guided compressive sensing recons truction
citeseerx-q144,analysis of aster multispectral stereo imagery to produce dem and land cover databases for greek
citeseerx-q145,piston engine for aircraft pdf
citeseerx-q146,facebook privacy
citeseerx-q147,hao chen algebraic geometric
citeseerx-q148,mesenchymal stem cells
citeseerx-q149,rfid
citeseerx-q15,semantic search
citeseerx-q150,blended learning
citeseerx-q151,mapreduce
citeseerx-q152,mobile marketing
citeseerx-q153,principles of marketing
citeseerx-q154,the policy sciences of democracy
citeseerx-q155,variance
citeseerx-q156,online reviews fraud
citeseerx-q157,performance limitations and self-sensing magnetic bearings
